

===============================================
2022-11-16 08:04:03

main.py --device 0 --num_rw_steps 7 --dim-pe 16 --tlayer-dropout 0.3 --attn-dropout 0.3 --scheduler none --seeds 2333

None

baseline: SAT
dataset: PATTERN
use_val_loss: False
use_cpu: False
max_freqs: 16
eigvec_norm: L2
num_rw_steps: 7
num_classes: 2
epochs: 100
scheduler: none
warmup: 5
batch_size: 32
lr: 0.0003
weight_decay: 1e-05
num_workers: 0
clustering: False
masked_attention: True
gconv_dim: 64
dim_pe: 16
tlayer_dim: 64
gconv_dropout: 0
attn_dropout: 0.3
tlayer_dropout: 0.3
classifier_head_dropout: 0.0
num_layers: 6
num_heads: 4
skip_connection: short
seeds: 2333
device: 0
save_state: False



| Epoch    0 | Train e:  0.8637, T l:  0.3608 | Val e:  0.8629 | Test e:  0.8643 
| Epoch    1 | Train e:  0.8656, T l:  0.3183 | Val e:  0.8651 | Test e:  0.8662 
| Epoch    2 | Train e:  0.8659, T l:  0.3127 | Val e:  0.8647 | Test e:  0.8661 
| Epoch    3 | Train e:  0.8659, T l:  0.3107 | Val e:  0.8654 | Test e:  0.8666 
| Epoch    4 | Train e:  0.8664, T l:  0.3103 | Val e:  0.8653 | Test e:  0.8670 
| Epoch    5 | Train e:  0.8657, T l:  0.3099 | Val e:  0.8651 | Test e:  0.8669 
| Epoch    6 | Train e:  0.8667, T l:  0.3094 | Val e:  0.8662 | Test e:  0.8677 
| Epoch    7 | Train e:  0.8667, T l:  0.3092 | Val e:  0.8659 | Test e:  0.8674 
| Epoch    8 | Train e:  0.8668, T l:  0.3089 | Val e:  0.8664 | Test e:  0.8678 
| Epoch    9 | Train e:  0.8657, T l:  0.3083 | Val e:  0.8650 | Test e:  0.8666 
| Epoch   10 | Train e:  0.8657, T l:  0.3083 | Val e:  0.8648 | Test e:  0.8662 
| Epoch   11 | Train e:  0.8668, T l:  0.3085 | Val e:  0.8663 | Test e:  0.8677 
| Epoch   12 | Train e:  0.8668, T l:  0.3079 | Val e:  0.8660 | Test e:  0.8677 
| Epoch   13 | Train e:  0.8666, T l:  0.3077 | Val e:  0.8654 | Test e:  0.8669 
| Epoch   14 | Train e:  0.8669, T l:  0.3076 | Val e:  0.8658 | Test e:  0.8667 
| Epoch   15 | Train e:  0.8672, T l:  0.3076 | Val e:  0.8664 | Test e:  0.8677 
