

===============================================
2022-12-18 21:49:39

main.py --device 1 --num_rw_steps 7 --dim-pe 16 --tlayer-dropout 0.3 --attn-dropout 0.3 --scheduler none --seeds 2022 --num-layers 14

None

baseline: SAT
dataset: PATTERN
use_val_loss: False
use_cpu: False
max_freqs: 16
eigvec_norm: L2
num_rw_steps: 7
num_classes: 2
epochs: 100
scheduler: none
warmup: 5
batch_size: 32
lr: 0.0003
weight_decay: 1e-05
num_workers: 0
clustering: False
masked_attention: True
gconv_dim: 64
dim_pe: 16
tlayer_dim: 64
gconv_dropout: 0
attn_dropout: 0.3
tlayer_dropout: 0.3
classifier_head_dropout: 0.0
num_layers: 14
num_heads: 4
skip_connection: short
seeds: 2022
device: 1
save_state: False



| Epoch    0 | Train e:  0.8651, T l:  0.3615 | Val e:  0.8643 | Test e:  0.8658 
| Epoch    1 | Train e:  0.8645, T l:  0.3185 | Val e:  0.8643 | Test e:  0.8657 
| Epoch    2 | Train e:  0.8664, T l:  0.3136 | Val e:  0.8657 | Test e:  0.8670 
| Epoch    3 | Train e:  0.8625, T l:  0.3116 | Val e:  0.8629 | Test e:  0.8643 
| Epoch    4 | Train e:  0.8668, T l:  0.3104 | Val e:  0.8661 | Test e:  0.8676 
| Epoch    5 | Train e:  0.8654, T l:  0.3100 | Val e:  0.8643 | Test e:  0.8663 
| Epoch    6 | Train e:  0.8667, T l:  0.3097 | Val e:  0.8654 | Test e:  0.8671 
| Epoch    7 | Train e:  0.8638, T l:  0.3091 | Val e:  0.8635 | Test e:  0.8646 
| Epoch    8 | Train e:  0.8647, T l:  0.3087 | Val e:  0.8639 | Test e:  0.8661 
| Epoch    9 | Train e:  0.8665, T l:  0.3091 | Val e:  0.8654 | Test e:  0.8665 
| Epoch   10 | Train e:  0.8669, T l:  0.3081 | Val e:  0.8661 | Test e:  0.8675 
| Epoch   11 | Train e:  0.8672, T l:  0.3082 | Val e:  0.8666 | Test e:  0.8681 
| Epoch   12 | Train e:  0.8672, T l:  0.3082 | Val e:  0.8661 | Test e:  0.8678 
| Epoch   13 | Train e:  0.8670, T l:  0.3077 | Val e:  0.8663 | Test e:  0.8678 
